"HolderAddress","Balance","PendingBalanceUpdate"
"0x28d90e19231f891f3a9dd573320497fd4fc21f59","0.0596224536255606","No"
"0x28d9aa0038e9da6dff1bbff1ef5e3d78dff1f6fd","15102.9531466441","No"
"0x2910129ce9782f02937e6db26ca202ab1a1f9231","5791.5","No"
"0x2919288c749b14bad9cfef29e911481c1ccee731","24416.116","No"
"0x295d51a6d19c7509da4558b345e4b8908e0a9e07","13922.4866630375","No"
"0x2969b95d51079734c875d95b687514cbcec2bf10","46545.866","No"
"0x29fc55baf2893f4bdedb59a76860d7f843a3a7f4","19681.1992582202","No"
"0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208","37159009.8139259","No"
"0x2a964c178cbb3f929b9a4d30b0da04e05056fba0","80580.342","No"
"0x2ac33b95cee80272d75745d78063e6bda955f246","167627.07","No"
"0x2b768864597ff3e6f2f4a5cc7c266935d26b93e2","11527.3416304639","No"
"0x2b870c8d640685107bf2f2e6a11f09c9686f7806","42497.6221947395","No"
"0x2bb2d9e4ee6ed9e17e97de128d283d19acab1d05","974.932024652597","No"
"0x2bc51539babb7cc91b96abc4dcf52c0195ea4191","12505.7571531984","No"
"0x2c05fcb9c7a04c269f04c6d61457848db03e6302","11459.6686110609","No"
"0x2c2f726fa41ee6b7992c332f185c2228747e34bb","11084.6243916596","No"
"0x2ce38803bf39dd09e072255b19ad3912bb799603","11406.116","No"
"0x2ce58064b46711cb6a94c4a627f5762abcd34cc9","610.892","No"
"0x2d3d50ceb0013b3f0fc01d38290db811cf3598d2","392593.5","No"
"0x2e23f2a4208f633914190bb20fe5b2d19febbc9d","366560.784","No"
"0x2ecf2d0f689085ff6d8e8cda423362934e971cb9","36479.2086261468","No"
"0x2f3e12246751e3204a3196a353d979e9bf25ac5d","1020586.055","No"
"0x2ffde369c441780e4f75eb5653824352e61f4a49","53242.5904223505","No"
"0x3004534be4574b45eeca91caed64aca6e1f52cb1","795618.72","No"
"0x30356c3fe3405c0d4eb3239078b4090ff51138e7","5000","No"
"0x3059154e9fd69dd49fb501d2c48d2780535f1d34","3802147","No"
"0x30c51ff42f594a4c9e1772d483a414e64d37f809","14128.0581051189","No"
"0x31f4fe9b63bc56a26ee7d937c5e085948a922f94","2550.47247287","No"
"0x323f5bb64b34e259ed16ccc3f5037f4857a684df","1069956.81","No"
"0x33480283475e814a53536a0034f5d7c8772781ed","68276.022191643","No"
"0x334ab89ffea8e1def021d1b8c17f347c6e4e3020","100000","No"
"0x33505d0e8be3070a75373b790ecbe39ae6608021","14149.3279680341","No"
"0x335d037e349d702a469ffb19f7884c9b96bafc63","27571.05","No"
"0x33ab1f13395f15d283cfc41181f4b8e7fba1adf4","1000000","No"
"0x33f9e01a592c7dbeafc792ab8284cec71c96e828","12161.6668660658","No"
"0x341f78756e0549001dd1a24107a9f54f5adb271f","50300.0058701342","No"
"0x3421ed762cc81872485d50a10e8fa597c93eacc6","1300000","No"
"0x3422b32c747b300cc5f9f76fc64cc7d7eef22837","20","No"
"0x3476527ed374cc4e17590834d4b58ee4a820d565","142921.426488068","No"
"0x3481fba85c1b227cd401d4ef2e2390f505738b08","25200","No"
"0x34a18aa82551e08705db156666910e2d5a6550fe","10095.2040991063","No"
